,Tweet,Label,Processed_Tweet
0,pagi2 udah di buat emosi :),Anger,pagi2 udah emosi
1,"kok stabilitas negara, memange 10 thn negara tdk aman, bahkan sby menyuburkan ormas2 radikal, intoleran, teroris, yg berafiliasi ke partai tertentu..narasi klhtn intelektual tp bodoh..",Anger,stabilitas negara memange 10 thn negara tdk aman sby menyuburkan ormas2 radikal intoleran teroris yg berafiliasi partai tertentunarasi klhtn intelektual tp bodoh
2,dah lah emosi mulu liat emyu,Anger,dah emosi mulu liat emyu
3,"aib? bodoh benar! sebelum kata aib itu muncul, terlebih dahulu sudah ada tindakan. yakni kekejian! jangan kau sembunyikan caramu menelaah masalah. semisal anak perempuanmu ditempeleng! apa kau juga setuju untuk dia bersikap bungkam? melapor polisi adl benar. lantas apa bedanya",Anger,aib bodoh aib muncul tindakan kekejian kau sembunyikan caramu menelaah anak perempuanmu ditempeleng kau setuju bersikap bungkam melapor polisi adl lantas bedanya
4,dih lu yg nyebelin bego,Anger,dih lu yg nyebelin bego
5,"asli malu maluin org indo tolol yg rep latah ""cilukba"" pake huruf hijaiyah sm ""ngntd"" sama ganti huruf t pake salib, ada tiktok filipin lewat fyp aku dan repnya ""ngtd"" semua, dasar goblogg trend tiktok ter tolol",Anger,asli malu maluin org indo tolol yg rep latah cilukba pake huruf hijaiyah sm ngntd ganti huruf t pake salib tiktok filipin fyp repnya ngtd dasar goblogg trend tiktok ter tolol
6,drama abg tolol,Anger,drama abg tolol
7,masih emosi sih sama katla kemarin. mana keterangannya gini aja. ((hasil mengaci)) kzl.,Anger,emosi sih katla kemarin keterangannya gini aja hasil mengaci kzl
8,"bangsat tribute no.1, bencana no.2 mau ngalahin ini keknya",Anger,bangsat tribute no1 bencana no2 ngalahin keknya
9,pengen pergi jauh terus teriak sambil nangis sekencang kencangnya nanti balik kalo gue udah lupa segalanya wkwj kn tolol mustahil banget,Anger,pengen pergi teriak nangis sekencang kencangnya kalo gue udah lupa wkwj kn tolol mustahil banget
10,ya allah mau marah tpi gimana ya,Anger,ya allah marah tpi gimana ya
11,silibus kita memang kbat gila babi. bodoh yang buat silibus ni. learning should be fun.,Anger,silibus kbat gila babi bodoh silibus ni learning should be fun
12,"pagi-pagi dikerjain orang haha dikira gua bego, ya gua ladenin lahh liat sampe manaa",Anger,pagipagi dikerjain orang haha gua bego ya gua ladenin lahh liat sampe manaa
13,"angka covid lagi naek. kalo masih dilanjut event offlinenya, asli bodoh sih ni brand.",Anger,angka covid naek kalo dilanjut event offlinenya asli bodoh sih ni brand
14,"bukan lebih ke sangar sih , kalo menurutku goblokk bin tolol . di ingetin untuk kebaikan malah acuh",Anger,sangar sih kalo menurutku goblokk bin tolol ingetin kebaikan acuh
15,"mas ngelonte dulu mas, biar otaknya jadi seger lg, bagi org kafir seperti lu ngewe dgn lonte ibadah yg utama. punya tolol kok kebangetan bgt sih",Anger,ma ngelonte ma biar otaknya seger lg org kafir lu ngewe dgn lonte ibadah yg utama tolol kebangetan bgt sih
16,1-10!! marah aku,Anger,110 marah
17,tolol banget. mana ada bercinta. yg ada mimpi di kejar kejar setan semalem. asu bocil nih yang iya iya aja kalo bicara,Anger,tolol banget bercinta yg mimpi kejar kejar setan semalem asu bocil nih iya iya aja kalo bicara
18,"izinin suami poligami buat menghindari zina? lol banget, heh mmngnya nabi saya poligami gegara mata keranjang trus sangean? trus ada niatan zina, tpi biar gak zina jdi dinikahin? ngelirik cewek sambil nyebarin ajaran agama gitu? tolol, belajar agama lagi sana",Anger,izinin suami poligami menghindari zina lol banget heh mmngnya nabi poligami gegara mata keranjang trus sangean trus niatan zina tpi biar gak zina jdi dinikahin ngelirik cewek nyebarin ajaran agama gitu tolol belajar agama
19,gua nyerah joki aja kali ya tugas poem ya allah kenapa aku bego b ing,Anger,gua nyerah joki aja kali ya tugas poem ya allah bego b ing
20,trs barusan dia reach out aku trs minta tolong buat bantu project dia yaallaah aaaa jujur agak takut pressure tp ok gapapa,Fear,trs barusan reach out trs tolong bantu project yaallaah aaaa jujur takut pressure tp ok gapapa
21,"sumpah ini receh bgt dan not bts related. cm jujur w magang padet bgt dikasih project mayan banyak. trs kemaren ada senior gd presentasi gt dan keeren2 bgt nangis parah. trs aku pengen chat blio pengen tanya2. minta nomornya ke hrd, dapet, tp mau chat gajadi soalnya takut",Fear,sumpah receh bgt not bts related cm jujur w magang padet bgt dikasih project mayan trs kemaren senior gd presentasi gt keeren2 bgt nangis parah trs pengen chat blio pengen tanya2 nomornya hrd dapet tp chat gajadi takut
