Tweet	Label
pagi2 udah di buat emosi :)	Anger
kok stabilitas negara, memange 10 thn negara tdk aman, bahkan sby menyuburkan ormas2 radikal, intoleran, teroris, yg berafiliasi ke partai tertentu..narasi klhtn intelektual tp bodoh..	Anger
dah lah emosi mulu liat emyu	Anger
aib? bodoh benar! sebelum kata aib itu muncul, terlebih dahulu sudah ada tindakan. yakni kekejian! jangan kau sembunyikan caramu menelaah masalah. semisal anak perempuanmu ditempeleng! apa kau juga setuju untuk dia bersikap bungkam? melapor polisi adl benar. lantas apa bedanya	Anger
dih lu yg nyebelin bego	Anger
asli malu maluin org indo tolol yg rep latah "cilukba" pake huruf hijaiyah sm "ngntd" sama ganti huruf t pake salib, ada tiktok filipin lewat fyp aku dan repnya "ngtd" semua, dasar goblogg trend tiktok ter tolol	Anger
drama abg tolol	Anger
masih emosi sih sama katla kemarin. mana keterangannya gini aja. ((hasil mengaci)) kzl.	Anger
bangsat tribute no.1, bencana no.2 mau ngalahin ini keknya	Anger
pengen pergi jauh terus teriak sambil nangis sekencang kencangnya nanti balik kalo gue udah lupa segalanya wkwj kn tolol mustahil banget	Anger
ya allah mau marah tpi gimana ya	Anger
silibus kita memang kbat gila babi. bodoh yang buat silibus ni. learning should be fun.	Anger
pagi-pagi dikerjain orang haha dikira gua bego, ya gua ladenin lahh liat sampe manaa	Anger
angka covid lagi naek. kalo masih dilanjut event offlinenya, asli bodoh sih ni brand.	Anger
bukan lebih ke sangar sih , kalo menurutku goblokk bin tolol . di ingetin untuk kebaikan malah acuh	Anger
mas ngelonte dulu mas, biar otaknya jadi seger lg, bagi org kafir seperti lu ngewe dgn lonte ibadah yg utama. punya tolol kok kebangetan bgt sih	Anger
1-10!! marah aku	Anger
tolol banget. mana ada bercinta. yg ada mimpi di kejar kejar setan semalem. asu bocil nih yang iya iya aja kalo bicara	Anger
izinin suami poligami buat menghindari zina? lol banget, heh mmngnya nabi saya poligami gegara mata keranjang trus sangean? trus ada niatan zina, tpi biar gak zina jdi dinikahin? ngelirik cewek sambil nyebarin ajaran agama gitu? tolol, belajar agama lagi sana	Anger
gua nyerah joki aja kali ya tugas poem ya allah kenapa aku bego b ing	Anger
trs barusan dia reach out aku trs minta tolong buat bantu project dia yaallaah aaaa jujur agak takut pressure tp ok gapapa	Fear
sumpah ini receh bgt dan not bts related. cm jujur w magang padet bgt dikasih project mayan banyak. trs kemaren ada senior gd presentasi gt dan keeren2 bgt nangis parah. trs aku pengen chat blio pengen tanya2. minta nomornya ke hrd, dapet, tp mau chat gajadi soalnya takut	Fear
ragu utk bisa beli barang tu karn harganya bisa buat cicilan bulanan	Fear
bisa gak sih langsung tanggal 11 aja gausah ada tanggal 10 gua takut banget mana 2 hari lagi	Fear
iya kaan yg lain suka pada coba pd gpp tp tetep takut wkwk	Fear
eh sumpah gw takut bangett. serem bangett itu orang	Fear
namnjim lag like like nya ngeri bgt, anak buah imam jumbo emg sama aja semuanya	Fear
ogeb bat dah pake sok sok an kaget	Fear
plis nilai akm keluarnya lama banget, takut	Fear
mau ikut esd aja telat, trus takut flop	Fear
emm hampir setiap waktu gitu sampe panik?	Fear
jadi malu saya	Fear
sinb kamu tiati mukanya yak takut krna evil edit	Fear
buset ngeri bgt	Fear
